                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2853,                 4.4124,                 4.2706,                0.00196,                0.53788,                0.00248,                0.00051,                 3.3754,                 4.6869,                 4.1601,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.0314,                 4.2003,                 4.0767,                 0.0005,                0.20455,                0.00047,                 0.0001,                  3.471,                 4.6908,                  4.215,             0.00040594,             0.00040594,             0.00040594
                      3,                 2.8924,                 3.9499,                 3.7602,                0.00101,                0.41667,                0.00109,                 0.0002,                 3.9054,                 4.7831,                 4.6309,             0.00060772,             0.00060772,             0.00060772
                      4,                 2.7012,                 3.6822,                 3.5256,                0.00184,                0.57051,                0.00253,                0.00043,                  3.872,                 4.5115,                 4.6677,             0.00080535,             0.00080535,             0.00080535
                      5,                 2.4926,                 3.4526,                  3.294,                0.00243,                0.64627,                0.00287,                0.00044,                 3.8177,                  4.606,                 4.6701,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.2326,                 3.1281,                 3.0434,                0.34705,                0.04167,                0.01493,                0.00419,                 2.8902,                 6.2599,                 3.8901,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.1505,                 2.9668,                  2.935,                0.11296,                0.48922,                0.25492,                0.06401,                  2.596,                  13.93,                 3.7229,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.0746,                 2.7717,                 2.7597,                0.11377,                0.35737,                0.19133,                0.04335,                 2.6895,                 4.2222,                 3.3652,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.8934,                 2.6443,                 2.6276,                0.74363,                0.08974,                0.13239,                0.02629,                 3.0066,                 4.4021,                 4.1432,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.7705,                 2.5126,                 2.5145,                0.72568,                0.40224,                 0.3145,                0.08391,                 2.8693,                 4.5935,                 3.4377,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6783,                 2.3888,                 2.4004,                0.53233,                0.61615,                0.67451,                0.45119,                 1.4047,                 4.2285,                 2.2643,               0.000901,               0.000901,               0.000901
                     12,                 1.6598,                 2.4657,                 2.3721,                0.35945,                0.47963,                0.52268,                0.38155,                 1.2081,                 2.9636,                 2.2677,              0.0008911,              0.0008911,              0.0008911
