                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2556,                 3.6589,                 4.3349,                0.00302,                   0.76,                0.00876,                0.00336,                 2.7599,                 4.0347,                 4.1589,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.2796,                 3.7368,                 4.2357,                0.00302,                   0.76,                0.01107,                0.00391,                 2.7605,                 4.0355,                 4.1584,             0.00017644,             0.00017644,             0.00017644
                      3,                 3.1733,                 3.6368,                 4.2436,                0.00302,                   0.76,                0.01321,                0.00445,                 2.7614,                 4.0347,                 4.1567,             0.00026891,             0.00026891,             0.00026891
                      4,                 3.3297,                 3.6402,                 4.2128,                0.00302,                   0.76,                 0.0109,                0.00373,                 2.7614,                 4.0331,                  4.155,             0.00035743,             0.00035743,             0.00035743
                      5,                  3.112,                 3.5781,                 4.1918,                0.00302,                   0.76,                0.01032,                0.00367,                 2.7603,                 4.0338,                  4.152,             0.00044198,             0.00044198,             0.00044198
                      6,                 2.9798,                 3.6179,                 4.1701,                0.00302,                   0.76,                 0.0207,                0.00442,                 2.7593,                 4.0344,                 4.1494,             0.00052258,             0.00052258,             0.00052258
                      7,                 3.1103,                 3.6102,                 4.1262,                0.00302,                   0.76,                0.03286,                 0.0087,                 2.7674,                 4.0525,                  4.145,             0.00059922,             0.00059922,             0.00059922
                      8,                 3.1682,                 3.5845,                 4.1549,                0.00302,                   0.76,                0.03123,                0.00854,                 2.7779,                 4.0618,                 4.1417,             0.00067189,             0.00067189,             0.00067189
                      9,                 3.3607,                 3.6405,                 4.0975,                0.00302,                   0.76,                0.01901,                0.00498,                 2.7944,                 4.0496,                 4.1327,             0.00074061,             0.00074061,             0.00074061
                     10,                 3.1317,                 3.5844,                 4.0973,                0.00302,                   0.76,                0.02675,                0.00683,                 2.8074,                 4.0447,                 4.1205,             0.00080536,             0.00080536,             0.00080536
                     11,                 3.0538,                 3.5684,                 4.0432,                0.00302,                   0.76,                0.02353,                0.00632,                 2.8251,                 4.0596,                 4.0998,             0.00086616,             0.00086616,             0.00086616
                     12,                 3.0011,                 3.4904,                 4.0135,                0.00302,                   0.76,                0.02187,                0.00533,                 2.8293,                 4.0561,                 4.0577,               0.000923,               0.000923,               0.000923
                     13,                 3.2592,                 3.4683,                 3.9813,                0.00302,                   0.76,                0.02076,                0.00496,                 2.8356,                 4.0765,                 4.0399,             0.00097587,             0.00097587,             0.00097587
                     14,                 3.1302,                 3.4964,                 3.9658,                 0.0027,                   0.68,                0.02213,                0.00537,                 2.8962,                 4.3087,                 4.0019,              0.0010248,              0.0010248,              0.0010248
                     15,                 2.9684,                 3.4527,                 3.9143,                0.00222,                   0.56,                0.01595,                0.00405,                 3.0355,                 4.6725,                 3.9697,              0.0010697,              0.0010697,              0.0010697
                     16,                  3.074,                 3.5529,                 3.9207,                0.00206,                   0.52,                0.01838,                0.00383,                 3.0814,                 4.7546,                 4.0447,              0.0011107,              0.0011107,              0.0011107
                     17,                 3.1444,                 3.5009,                 3.8384,                0.00587,                   0.28,                0.01645,                0.00304,                 3.0937,                 5.6898,                 4.7461,              0.0011478,              0.0011478,              0.0011478
                     18,                 3.0587,                 3.4413,                 3.7621,                0.00922,                   0.32,                0.00985,                 0.0023,                 3.1057,                 7.4926,                 5.3326,              0.0011809,              0.0011809,              0.0011809
                     19,                 2.9443,                 3.4827,                 3.7659,                0.00663,                   0.28,                 0.0064,                0.00159,                 3.1336,                 7.4393,                 5.7617,                0.00121,                0.00121,                0.00121
                     20,                 3.0589,                  3.389,                 3.7575,                0.00509,                   0.36,                0.00503,                0.00108,                 3.2775,                   5.65,                 5.6561,              0.0012351,              0.0012351,              0.0012351
                     21,                 3.0573,                 3.4751,                 3.7724,                 0.0054,                   0.36,                0.00499,                0.00106,                 3.2614,                 6.5825,                 6.7487,               0.001208,               0.001208,               0.001208
                     22,                 2.9807,                 3.3312,                 3.6615,                0.00445,                   0.24,                0.00416,                0.00102,                 3.3052,                 8.3596,                 7.0574,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.9114,                 3.3563,                 3.6353,                0.00407,                   0.24,                0.00397,                0.00097,                 3.3286,                  7.145,                 6.0315,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.9931,                 3.3917,                  3.666,                0.00418,                   0.28,                0.00581,                0.00173,                 3.1822,                 5.6515,                 4.7165,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.9133,                 3.3348,                 3.5734,                0.11755,                   0.04,                0.01534,                 0.0026,                 3.0998,                 4.8877,                 4.4257,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.7681,                 3.4021,                 3.5521,                 0.0427,                   0.04,                0.00698,                0.00192,                 2.8384,                 4.8232,                 4.2278,                0.00101,                0.00101,                0.00101
                     27,                  2.942,                 3.3496,                 3.5623,                0.00206,                   0.52,                0.00508,                0.00161,                 2.8414,                 5.9369,                 4.1415,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.9012,                 3.3744,                 3.5898,                0.01266,                   0.04,                0.00891,                0.00246,                 3.0035,                 5.8547,                 3.6765,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.8624,                 3.3371,                 3.5739,                0.03927,                   0.12,                0.01466,                 0.0035,                 3.0466,                 5.0557,                 3.9156,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.7097,                 3.3131,                 3.4329,                 0.0338,                0.11203,                0.01173,                0.00316,                 2.9278,                 4.8695,                 3.8148,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.8661,                 3.2948,                 3.4677,                0.03232,                   0.24,                0.01374,                0.00333,                 2.8923,                 5.2162,                 3.8544,               0.000812,               0.000812,               0.000812
